,Duration,Checking account,Credit amount,Purpose,Job,Sex,data_source,Saving accounts,Housing,Risk,Age,Unnamed: 0
0,24.0,little,3632,car,2.0,female,kaggle,little,rent,good,22,613.0
1,24.0,,2603,car,2.0,female,kaggle,rich,rent,good,28,733.0
2,12.0,little,902,education,2.0,male,kaggle,little,rent,bad,21,203.0
3,9.0,little,654,car,1.0,male,kaggle,little,own,bad,28,472.0
4,21.0,little,3414,education,2.0,male,kaggle,little,own,bad,26,174.0
5,15.0,,3186,car,2.0,female,kaggle,rich,rent,good,20,420.0
6,12.0,,1262,radio/TV,2.0,male,kaggle,little,own,good,25,52.0
7,21.0,little,1835,radio/TV,2.0,female,kaggle,little,own,bad,25,120.0
8,15.0,,1520,furniture/equipment,2.0,male,kaggle,,own,good,63,283.0
9,18.0,moderate,6204,repairs,1.0,male,kaggle,little,own,good,44,42.0
10,18.0,moderate,2899,car,2.0,male,kaggle,,own,good,43,404.0
11,24.0,,8648,business,2.0,male,kaggle,little,own,bad,27,402.0
12,15.0,,3029,car,2.0,male,kaggle,little,own,good,33,749.0
13,30.0,little,8072,business,2.0,male,kaggle,,own,good,25,17.0
14,28.0,,7824,car,2.0,male,kaggle,,rent,good,40,889.0
15,24.0,,4042,car,2.0,male,kaggle,,own,good,43,851.0
16,72.0,moderate,5595,radio/TV,2.0,male,kaggle,moderate,own,bad,24,677.0
17,9.0,,2697,radio/TV,2.0,male,kaggle,little,own,good,32,275.0
18,9.0,,1236,domestic appliances,2.0,female,kaggle,little,rent,good,23,350.0
19,18.0,moderate,1239,education,2.0,male,kaggle,,free,good,61,360.0
20,18.0,moderate,1239,education,2.0,male,kaggle,,free,good,61,360.0
21,12.0,moderate,6468,radio/TV,3.0,male,kaggle,,own,bad,52,56.0
22,24.0,moderate,4712,business,3.0,male,kaggle,,own,good,37,564.0
23,24.0,moderate,4113,car,2.0,female,kaggle,quite rich,rent,bad,28,952.0
24,21.0,moderate,1188,business,2.0,female,kaggle,little,own,bad,39,790.0
25,12.0,little,3386,car,2.0,male,kaggle,little,free,bad,35,457.0
26,36.0,,3079,car,2.0,male,kaggle,,own,good,36,370.0
27,12.0,moderate,1103,radio/TV,2.0,male,kaggle,little,own,good,29,696.0
28,10.0,rich,1225,domestic appliances,2.0,male,kaggle,little,own,good,37,38.0
29,24.0,,1474,car,2.0,male,kaggle,moderate,own,good,33,855.0
30,12.0,,3059,radio/TV,1.0,male,kaggle,rich,own,good,61,8.0
31,24.0,little,1282,radio/TV,1.0,female,kaggle,moderate,own,bad,32,15.0
32,48.0,little,4788,car,2.0,male,kaggle,little,own,good,26,286.0
33,,,,,,,kaggle,,,,,
34,9.0,,1388,furniture/equipment,2.0,female,kaggle,little,rent,good,26,582.0
35,18.0,little,1882,radio/TV,2.0,female,kaggle,little,rent,bad,25,727.0
36,21.0,,1591,furniture/equipment,3.0,male,kaggle,moderate,own,good,34,423.0
37,12.0,rich,2251,furniture/equipment,1.0,female,kaggle,little,own,good,46,251.0
38,30.0,,7596,car,2.0,male,kaggle,,own,good,63,715.0
39,18.0,little,2039,furniture/equipment,2.0,female,kaggle,little,rent,bad,20,585.0
